Candidate,Party,Criminal Cases,Education,Age,City
Kuldeep Rai Sharma,INC,0,Graduate Professional,52,ANDAMAN AND NICOBAR ISLANDS
Ayan Mandal,AITC,0,Graduate,30,ANDAMAN AND NICOBAR ISLANDS
C G Saji Kumar,All India Hindustan Congress Party,0,12th Pass,48,ANDAMAN AND NICOBAR ISLANDS
C U Rasheed,IND,0,12th Pass,34,ANDAMAN AND NICOBAR ISLANDS
Gour Chandra Majumder,IND,0,Graduate,52,ANDAMAN AND NICOBAR ISLANDS
Henry,IND,0,10th Pass,50,ANDAMAN AND NICOBAR ISLANDS
K Kalimuthu,IND,0,8th Pass,66,ANDAMAN AND NICOBAR ISLANDS
K Venkat Ram Babu,IND,0,10th Pass,45,ANDAMAN AND NICOBAR ISLANDS
Minati Biswas,IND,0,8th Pass,51,ANDAMAN AND NICOBAR ISLANDS
Paritosh Kumar Haldar,IND,0,Post Graduate,61,ANDAMAN AND NICOBAR ISLANDS
Prakash Minj,BSP,0,Post Graduate,43,ANDAMAN AND NICOBAR ISLANDS
S Sudershan Rao,IND,0,Doctorate,58,ANDAMAN AND NICOBAR ISLANDS
Sanjay Meshack,AAP,0,12th Pass,49,ANDAMAN AND NICOBAR ISLANDS
V V Khalid,IND,0,8th Pass,51,ANDAMAN AND NICOBAR ISLANDS
Vishal Jolly,BJP, 1 ,Graduate Professional,46,ANDAMAN AND NICOBAR ISLANDS
Chinta Anuradha,YSRCP,0,Graduate,46,AMALAPURAM
Ganti Harish Madhur,TDP,0,Graduate Professional,30,AMALAPURAM
Janga Goutham,INC,0,Graduate,49,AMALAPURAM
Manepalli Ayyaji Vema,BJP,0,Graduate Professional,59,AMALAPURAM
Mojas Raja Sekhar Duggirala,Janasena Party, 1 ,Post Graduate,59,AMALAPURAM
Mortha Sivarama Krishna,Pyramid Party of India,0,Graduate,29,AMALAPURAM
Muralikrishna Kanderi,India Praja Bandhu Party,0,Others,41,AMALAPURAM
Panthagada Vijaya Chakravarthy,RPI(Khobragade),0,Post Graduate,65,AMALAPURAM
Rajani Chelle,Jana Jagruti Party,0,Graduate,30,AMALAPURAM
Revu Sudhakar,IND,0,10th Pass,34,AMALAPURAM
Dr.Beesetti Venkata Satyavathi,YSRCP,0,Graduate Professional,52,ANAKAPALLE
Adari Anand Kumar,TDP,0,10th Pass,43,ANAKAPALLE
Appala Naidu Tummagonta,IND,0,10th Pass,38,ANAKAPALLE
Chintala Partha Sarathi,Janasena Party,0,Post Graduate,56,ANAKAPALLE
Dr Gandi Venkata Satyanarayana Rao,BJP,0,Post Graduate,65,ANAKAPALLE
K B Swaroop,Jana Jagruti Party,0,Graduate Professional,51,ANAKAPALLE
P.S.Ajay Kumar,CPI(ML)(L), 3 ,Post Graduate,57,ANAKAPALLE
Ruthala Srirama Murthy,INC,0,Graduate Professional,49,ANAKAPALLE
Taadi Veera Jagadeeshwari,Pyramid Party of India,0,5th Pass,65,ANAKAPALLE
Vadlamuri Krishna Swaroop,Dalita Bahujana Party,0,Post Graduate,46,ANAKAPALLE
Talari Rangaiah,YSRCP, 2 ,Doctorate,48,ANANTAPUR
G. Lalitha,SUCI(C),0,Graduate,56,ANANTAPUR
Giddama Ranganayakulu,Vishwa Jana Party,0,Post Graduate,43,ANANTAPUR
Hamsa Devineni,BJP,0,Post Graduate,33,ANANTAPUR
Jagadeesh Devaragudi,CPI, 9 ,8th Pass,58,ANANTAPUR
Juturu Chinna Reddy Pavan Reddy,TDP,0,Graduate,46,ANANTAPUR
K Rajiv Reddy,INC,0,Graduate Professional,30,ANANTAPUR
Lingutla Rangaiah,IND,0,5th Pass,70,ANANTAPUR
M.Venkatesulu,Pyramid Party of India,0,10th Pass,49,ANANTAPUR
Padchuri Radha Krishna,Radical Democrats Party,0,Graduate,40,ANANTAPUR
Pothuru Rangaiah,IND,0,8th Pass,48,ANANTAPUR
Somanath Deshmukh,IND,0,10th Pass,50,ANANTAPUR
Vadde Kasinath,IND,0,Others,28,ANANTAPUR
Viswa Prasad Yadav Sankireddy	,IND,0,Post Graduate,51,ANANTAPUR
Goddeti Madhavi,YSRCP,0,Graduate Professional,26,ARAKU
Anumula Vamsi Krishna,IND,0,Post Graduate,41,ARAKU
Biddika Ramaiah,IND,0,Illiterate,57,ARAKU
Dr. Kasi Viswanadha Veera Venkata Satyanarayana Reddy Kosuri,BJP,0,Doctorate,54,ARAKU
Kangala Baladora,IND,0,Illiterate,61,ARAKU
Narava Satyavathi,IND,0,10th Pass,37,ARAKU
Shruti Devi Vyricherla,INC,0,Graduate Professional,46,ARAKU
Swamula Subrahamanyam,Jana Jagruti Party,0,Graduate,50,ARAKU
Vampuru Gangulaiah,Janasena Party, 3 ,10th Pass,49,ARAKU
Vyricherla Kishore Chandra Suryanarayana Deo,TDP,0,Post Graduate,72,ARAKU
Suresh Babu Nandigam,YSRCP,0,8th Pass,43,BAPATLA
Bussa Nagaraju,IND, 1 ,Others,29,BAPATLA
Challagali Kishore Kumar,BJP, 1 ,Graduate Professional,43,BAPATLA
China Nageswara Rao Sadhu,Mundadugu Praja Party,0,Post Graduate,35,BAPATLA
Gadde Haribabu,Navodayam Party,0,Graduate,40,BAPATLA
Gella Nagamalli,IND,0,Graduate Professional,34,BAPATLA
Golla Baburao,IND,0,Post Graduate,46,BAPATLA
Jesudasu Seelam,INC,0,Post Graduate,67,BAPATLA
Kanthiraj Devanand,BSP,0,Post Graduate,64,BAPATLA
Kattepogu Vijay Kumar,Pyramid Party of India,0,5th Pass,53,BAPATLA
Malyadri Sriram,TDP,0,Post Graduate,65,BAPATLA
Nuthakki Rama Rao,All India Praja Party,0,Post Graduate,71,BAPATLA
Thumati Ravi,All Peoples Party,0,Post Graduate,46,BAPATLA
N. Reddeppa,YSRCP,0,Post Graduate,68,CHITTOOR
A. Hemanth,IND,0,5th Pass,28,CHITTOOR
C. Punyamurthy,BSP, 4 ,Others,45,CHITTOOR
Cheemala. Rangappa,INC,0,Graduate Professional,60,CHITTOOR
Jayaram Duggani,BJP,0,Graduate,70,CHITTOOR
Naramalli Siva Prasad,TDP,0,Graduate Professional,68,CHITTOOR
P. Ramachandran,IND,0,Graduate Professional,42,CHITTOOR
Pallipattu. Abhinav Vishnu,Mundadugu Praja Party,0,Graduate Professional,27,CHITTOOR
Sridhar Kotagiri	,YSRCP,0,Graduate,46,ELURU
Alaga Ravi Kumar,IND,0,10th Pass,49,ELURU
Chinnam Rama Kotayya,BJP,0,10th Pass,58,ELURU
Gurunadha Rao Jetti,INC,0,Graduate,55,ELURU
Josyula China Venkata Suryanarayana,Pyramid Party of India,0,Graduate,62,ELURU
Maganti Venkateswara Rao,TDP, 1 ,10th Pass,59,ELURU
Mathe Bobby,RPI(A),0,12th Pass,29,ELURU
Mendem Santhosh Kumar,IND,0,Others,46,ELURU
V Siva Rama Krishna,Jana Jagruti Party,0,10th Pass,55,ELURU
Jayadev Galla,TDP,0,Graduate,53,GUNTUR
Araveti Hazarath Rao,Pyramid Party of India,0,Graduate Professional,68,GUNTUR
Bonaboyina Srinivasa Rao,Janasena Party, 1 ,10th Pass,50,GUNTUR
Dasari Kiran Babu,IND,0,8th Pass,37,GUNTUR
Doppalapudi Veera Das,IND,0,Graduate,60,GUNTUR
Jacob Vidyasagar Nakka,Viduthalai Chiruthaigal Katchi, 2 ,Post Graduate,51,GUNTUR
Jayaprakash Narayana Valluru,BJP,0,Graduate Professional,44,GUNTUR
Jeldi Raja Mohan,All India Praja Party,0,12th Pass,61,GUNTUR
Mannava Hariprasad,CPI(ML) Red Star,0,Graduate Professional,55,GUNTUR
Modugula Venugopala Reddy,YSRCP, 3 ,Graduate Professional,52,GUNTUR
Ramarao Simhadri,Praja Shanthi Party,0,5th Pass,41,GUNTUR
Samudrala Chinna Kotaiah,National Dalitha Dhal Party,0,10th Pass,41,GUNTUR
Sarabandi Raju Sikhinam,Indian Labour Party (Ambedkar Phule),0,Post Graduate,35,GUNTUR
Shaik Jaleel,Navarang Congress Party,0,5th Pass,43,GUNTUR
Shaik Mastanvali,INC, 1 ,Post Graduate,53,GUNTUR
Ullagi David Jayakumar,Hardam Manavtawadi Rashtriya Dal,0,Doctorate,61,GUNTUR
Umar Basha Shaik,IND,0,Graduate Professional,29,GUNTUR
Yanamadala Venkata Suresh,IND,0,Graduate,50,GUNTUR
Kuruva Gorantla Madhav,YSRCP, 2 ,Graduate,50,HINDUPUR
Gogula Pulakunta Jayanth,IND,0,Graduate,61,HINDUPUR
K.T.Sreedhar,INC, 1 ,Post Graduate,41,HINDUPUR
Mitta Parthasarathi,BJP, 2 ,Graduate,60,HINDUPUR
Mugi Surya Prakash,IND,0,Graduate,63,HINDUPUR
N.Kristappa,TDP, 4 ,Graduate,63,HINDUPUR
Ramamohan D.G.,IND,0,12th Pass,51,HINDUPUR
S.R.Anjaneyulu,IND,0,Post Graduate,35,HINDUPUR
S.Ram Mohan,Pyramid Party of India,0,10th Pass,33,HINDUPUR
Yeduguri Sandinti Avinash Reddy,YSRCP, 4 ,Post Graduate,34,KADAPA
Ameen Peeran Shaik,Ambedkar National Congress,0,Post Graduate,48,KADAPA
Chadipirala Adi Narayana Reddy,TDP,0,Post Graduate,61,KADAPA
Chadipiralla Siva Narayana Reddy,Navarang Congress Party,0,Others,53,KADAPA
Gona Purushottam Reddy,IND, 4 ,Graduate,40,KADAPA
Gujjula Eswaraiah,CPI, 1 ,Post Graduate,50,KADAPA
Gundlakunta Sreeramulu,INC,0,12th Pass,42,KADAPA
Jakku Chenna Krishna Reddy,IND, 1 ,10th Pass,44,KADAPA
Lakshmi Reddy Putha,Rajyadhikara Party, 3 ,Graduate Professional,32,KADAPA
Nyamatulla Shaik,IND,0,Graduate,31,KADAPA
Pedakala Varalakshmi,Pyramid Party of India,0,Graduate Professional,43,KADAPA
Siva Chandra Reddy Komma,Anna YSR Congress Party,0,Post Graduate,0,KADAPA
Sri Rama Chandra Singareddy,BJP,0,Graduate,50,KADAPA
Venu Gopal Rachineni,IND,0,10th Pass,39,KADAPA
Vanga Geetha Viswanatham,YSRCP,0,Post Graduate,55,KAKINADA
Ankadi Sathibabu,IND,0,Illiterate,45,KAKINADA
Appalakonda Vangalapudi,Mundadugu Praja Party,0,Post Graduate,28,KAKINADA
Buddala Geetha Devi,Praja Shanthi Party,0,5th Pass,34,KAKINADA
Donam Neelakantam,All India Praja Party,0,Post Graduate,49,KAKINADA
Godugu Satyanarayana,CPI(ML)(L),0,Graduate,40,KAKINADA
Jyothula Venkateswara Rao,Janasena Party,0,12th Pass,62,KAKINADA
Kakileti Ravindra,IND,0,10th Pass,41,KAKINADA
Mallipudi Sri Ramachandra Murthy,INC,0,5th Pass,66,KAKINADA
Medisetti Vijaya Kumar,IND, 8 ,12th Pass,53,KAKINADA
Peddimsetti Venkateswara Rao,Jana Jagruti Party, 2 ,12th Pass,46,KAKINADA
Sathi Veera Lakshmi,Pyramid Party of India,0,Illiterate,38,KAKINADA
Sunil Kumar Chalamalasetty,TDP,0,Post Graduate,49,KAKINADA
Vasamsetty Venakta Ramana,AIFB,0,10th Pass,0,KAKINADA
Yalla Venkata Rama Mohana Rao,BJP, 1 ,Graduate,46,KAKINADA
Dr Sanjeev Kumar,YSRCP,0,Post Graduate,52,KURNOOL
Abdul Waris,SDPI, 4 ,8th Pass,58,KURNOOL
Ahmed Ali Khan,INC,0,12th Pass,42,KURNOOL
B. Shiva Kumar,IND,0,10th Pass,40,KURNOOL
Dandu Seshu Yadav,SP,0,Graduate Professional,39,KURNOOL
Devarapogu Maddilety,IND, 1 ,10th Pass,45,KURNOOL
G Sanjeeva Kumar,Samajwadi Forward Bloc,0,10th Pass,38,KURNOOL
Hatcholi Thomas	,IND,0,10th Pass,47,KURNOOL
Kasula Rajasekhar,Pyramid Party of India,0,10th Pass,46,KURNOOL
Kommireddy Prabhakar Reddy,CPI(M), 1 ,Graduate Professional,58,KURNOOL
Kotla Jaya Surya Prakash Reddy	,TDP,0,Graduate,67,KURNOOL
M. Naganna,SUCI(C), 1 ,Illiterate,66,KURNOOL
P.V. Parthasarathi,BJP,0,Post Graduate,48,KURNOOL
P.V. Srihari,IND,0,Doctorate,51,KURNOOL
S.Md. Shafath,Rayalaseema Rashtra Samithi,0,Graduate Professional,30,KURNOOL
T. Beechupally,IND,0,Graduate,26,KURNOOL
Balashowry Vallabhaneni,YSRCP, 2 ,Post Graduate,50,MACHILIPATNAM
Bandreddi Ramakrishna,Janasena Party,0,Post Graduate,44,MACHILIPATNAM
Gandhi Dhanekula	,IND,0,10th Pass,70,MACHILIPATNAM
Gollu Krishna,INC, 5 ,Others,55,MACHILIPATNAM
Gudivaka Ramanjaneyulu	,BJP,0,Graduate,57,MACHILIPATNAM
Gudivaka Venkata Naga Basava Rao,IND,0,12th Pass,26,MACHILIPATNAM
Konakalla Narayana Rao,TDP,0,12th Pass,68,MACHILIPATNAM
Nadakuditi Naga Gayathri,IND,0,Post Graduate,38,MACHILIPATNAM
Peram Siva Nageswara Rao,RPI(A),0,8th Pass,51,MACHILIPATNAM
Valluru Venkateswara Rao,Pyramid Party of India,0,Graduate,78,MACHILIPATNAM
Vijaya Lakshmi Chalapaka,IND,0,Graduate,39,MACHILIPATNAM
Yarlagadda Rama Mohana Rao,Bahujan Maha Party,0,12th Pass,56,MACHILIPATNAM
Pocha Brahmananda Reddy,YSRCP, 1 ,Post Graduate,60,NANDYAL
Adinarayana Inty,BJP, 1 ,Post Graduate,67,NANDYAL
B.C. Ramanatha Reddy,IND, 1 ,Graduate,54,NANDYAL
Bhuma Kishor Reddy,IND,0,10th Pass,35,NANDYAL
C. Surendra Nath Reddy,IND,0,12th Pass,54,NANDYAL
D. Mahammad Rafi,B. C. United Front,0,10th Pass,29,NANDYAL
D. P. Jamal Basha,Anna YSR Congress Party,0,10th Pass,48,NANDYAL
Dr. Lakshmi Kantha Reddy Chitla,IND,0,Doctorate,34,NANDYAL
Elluri Bhupal,IND,0,Graduate,39,NANDYAL
I.V. Pakkir Reddy,IND, 2 ,Graduate,70,NANDYAL
Jestadi Sudhakar,IND, 1 ,10th Pass,38,NANDYAL
K.P. Kambagiriswamy,IND, 1 ,10th Pass,40,NANDYAL
Lakshmi Narasaiah Jangiti,INC,0,Post Graduate,33,NANDYAL
Mandra Sivananda Reddy,TDP,0,Graduate Professional,57,NANDYAL
Poluru Guruvaiah,IND,0,Illiterate,30,NANDYAL
Pula. Nagamaddilety,Ambedkar National Congress,0,10th Pass,40,NANDYAL
Ruddireddy Radhakrishna,AIFB,0,Others,38,NANDYAL
S. A. Indumathi,IND,0,Graduate Professional,42,NANDYAL
S.P.Y. Reddy,Janasena Party, 1 ,Graduate,69,NANDYAL
Vangala Parameswara Reddy.,IND, 3 ,10th Pass,40,NANDYAL
Lavu Sri Krishna Devarayalu,YSRCP,0,Graduate Professional,36,NARASARAOPET
Allu Venkata Reddy,Pyramid Party of India,0,Graduate Professional,49,NARASARAOPET
Durgampudi Rami Reddy,IND,0,Illiterate,66,NARASARAOPET
Gaddala Venu,IND,0,Graduate,28,NARASARAOPET
Kanakam Srinivasarao,National Nava Kranthi Party,0,10th Pass,40,NARASARAOPET
Kanna Lakshmi Narayana,BJP,0,Graduate,64,NARASARAOPET
Kante Sayanna,IND,0,Graduate,40,NARASARAOPET
Narasimharao Parimi,IND, 1 ,Illiterate,31,NARASARAOPET
Pakkala Suribabu,INC, 1 ,Post Graduate,60,NARASARAOPET
Rayapati Sambasiva Rao,TDP,0,Graduate,75,NARASARAOPET
Reddyboina Prasanna Kumar,IND,0,5th Pass,50,NARASARAOPET
Shaik Nayub Kamal,Janasena Party,0,12th Pass,50,NARASARAOPET
Surabhi Devasahayam,IUML,0,8th Pass,47,NARASARAOPET
Kanumuru Raghu Rama Krishna Raju,YSRCP, 3 ,Post Graduate,57,NARSAPURAM
Dasari Krishna Murthy,India Praja Bandhu Party,0,10th Pass,32,NARSAPURAM
G S Raju,SP,0,10th Pass,51,NARSAPURAM
Ganji Purnima,RPI(A),0,Graduate,35,NARSAPURAM
Gottumukkala Shivaji,IND,0,Post Graduate,48,NARSAPURAM
Gurugubilli Rambabu,Marxist Communist Party of India (United),0,5th Pass,52,NARSAPURAM
K.A.Paul,Praja Shanthi Party, 2 ,12th Pass,55,NARSAPURAM
Kanumuru Bapiraju,INC, 1 ,10th Pass,71,NARSAPURAM
Medapati Varahala Reddy,IND,0,10th Pass,44,NARSAPURAM
Nagababu Konidela,Janasena Party,0,Graduate Professional,58,NARSAPURAM
Nallam Surya Chandra Rao,Pyramid Party of India,0,Graduate,59,NARSAPURAM
Nalli Rajesh,IND, 6 ,10th Pass,36,NARSAPURAM
Pydikondala Manikyala Rao,BJP, 3 ,12th Pass,58,NARSAPURAM
Venkata Sivarama Raju Vetukuri,TDP, 1 ,Graduate,48,NARSAPURAM
Yella Venugopal Rao,Nava Samaj Party,0,Post Graduate,63,NARSAPURAM
Adala Prabhakara Reddy,YSRCP,0,12th Pass,70,NELLORE
Beeda Masthan Rao,TDP,0,Graduate,60,NELLORE
Butti Nagaraju,IND,0,Post Graduate,49,NELLORE
Chandra Rajagopal,CPI(M), 2 ,10th Pass,67,NELLORE
Chevuru Devakumar Reddy,INC, 2 ,12th Pass,61,NELLORE
Chinni Venkateswarlu,Pyramid Party of India,0,Literate,67,NELLORE
Dr. S. Suresh Babu,IND,0,Doctorate,42,NELLORE
Kankanala Penchala Naidu,IND,0,8th Pass,33,NELLORE
Meda Malla Reddy,IND,0,5th Pass,68,NELLORE
Narasapuram Prasad,IND,0,Others,50,NELLORE
Sannapureddy Suresh Reddy,BJP, 1 ,Graduate,58,NELLORE
Shaik Mahaboob Basha (Mabu),RPI(A), 1 ,Graduate Professional,35,NELLORE
Magunta Sreenivasulu Reddy,YSRCP,0,Graduate,65,ONGOLE
Bellamkonda Saibabu,Janasena Party,0,Graduate Professional,49,ONGOLE
Billa Chennaiah,IND,0,12th Pass,49,ONGOLE
Dr Sirivella Prasad,INC,0,Doctorate,51,ONGOLE
Kavuri Venu Babu Naidu,IND,0,10th Pass,41,ONGOLE
Konda Praveen Kumar,Navodayam Party,0,10th Pass,45,ONGOLE
Madhu Yattapu,IND,0,Graduate,33,ONGOLE
Maram Srinivasa Reddy,Praja Shanthi Party,0,Post Graduate,27,ONGOLE
Mohan Ayyappa,IND,0,Post Graduate,29,ONGOLE
Sidda Raghava Rao,TDP,0,Graduate,61,ONGOLE
Thoganti Sreenivasulu,BJP,0,Graduate Professional,44,ONGOLE
Venkatesan Baburao,India Praja Bandhu Party,0,Graduate,34,ONGOLE
Venkatesh Vepuri,IND,0,10th Pass,32,ONGOLE
Margani Bharat Ram,YSRCP, 2 ,Graduate,36,RAJAHMUNDRY
Akula Satyanarayana,Janasena Party,0,Post Graduate,55,RAJAHMUNDRY
Bandaru Rajeswara Rao,Jana Jagruti Party,0,5th Pass,59,RAJAHMUNDRY
Geddam David Nelson Babu,Ambedkarite Party of India, 1 ,Post Graduate,60,RAJAHMUNDRY
Kuruvella Bhanu Chandar,IND,0,10th Pass,34,RAJAHMUNDRY
Meda Srinivasa Rao,Rashtriya Praja Congress (Secular), 2 ,Post Graduate,50,RAJAHMUNDRY
Nalluri Vijaya Srinivasa Rao,INC,0,12th Pass,55,RAJAHMUNDRY
Paravasthu Satya Gopinath Das,BJP,0,12th Pass,48,RAJAHMUNDRY
Roopa Rammohan Maganti,TDP,0,Graduate,45,RAJAHMUNDRY
Srinivasa Rao Sangisetti,Pyramid Party of India,0,Illiterate,50,RAJAHMUNDRY
Venu Kollapu,IND, 1 ,Graduate,41,RAJAHMUNDRY
P.V.Midhun Reddy,YSRCP, 3 ,Post Graduate,42,RAJAMPET
Asadi Venkatadri,Rashtriya Krantikari Samajwadi Party,0,12th Pass,61,RAJAMPET
D.A. Sathya Prabha,TDP,0,12th Pass,68,RAJAMPET
Karimulla Khan Pattan,Navataram Party,0,Post Graduate,40,RAJAMPET
Khader Valli Shaik,IUML,0,10th Pass,35,RAJAMPET
M.Shajahan Basha,INC, 2 ,10th Pass,48,RAJAMPET
Mukram Syed,Janasena Party,0,10th Pass,42,RAJAMPET
Naresh Kumar Poojala,IND,0,Others,25,RAJAMPET
Pasupuleti Venkataramana,IND,0,Post Graduate,42,RAJAMPET
Rammohannaidu Kinjarapu,TDP, 1 ,Post Graduate,32,SRIKAKULAM
Betha Vivekananda Maharaj,IND,0,Graduate,33,SRIKAKULAM
Dola Jagan Mohana Rao,INC,0,Post Graduate,53,SRIKAKULAM
Matta Satish Chakravarthy,Pyramid Party of India,0,Post Graduate,37,SRIKAKULAM
Metta Ramarao,Janasena Party,0,Post Graduate,53,SRIKAKULAM
Naidugari Rajasekhar,IND,0,Post Graduate,35,SRIKAKULAM
Namballa Krishna Mohan,IND, 1 ,Graduate,44,SRIKAKULAM
Perla Samba Murthy,BJP,0,Post Graduate,58,SRIKAKULAM
Srinivas Duvvada,YSRCP, 13 ,Post Graduate,52,SRIKAKULAM
Balli Durgaprasad Rao,YSRCP,0,Graduate Professional,63,TIRUPATI
B Ramesh,Viduthalai Chiruthaigal Katchi,0,Graduate Professional,43,TIRUPATI
Bommi Srihari Rao,BJP,0,Graduate,44,TIRUPATI
Chinta Mohan,INC,0,Graduate Professional,64,TIRUPATI
Doctor Daggumati Sreehari Rao,BSP,0,Graduate Professional,52,TIRUPATI
K.S. Munirathnam,IND,0,Others,65,TIRUPATI
Karra Siva,Pyramid Party of India,0,12th Pass,0,TIRUPATI
Kattamanchi Prabhakar,IND,0,Post Graduate,51,TIRUPATI
M. Solomon,Andhra Rastra Praja Samithi,0,Graduate Professional,65,TIRUPATI
"Neeruguttu Nagesh, M.A., Philosophy",Janapaalana Party (Democratic),0,Post Graduate,32,TIRUPATI
Panabaka Lakshmi,TDP,0,Doctorate,60,TIRUPATI
Viruvuru Sudhakar,Vishwa Jana Party,0,Graduate Professional,36,TIRUPATI
Srinivas Kesineni,TDP,0,10th Pass,53,VIJAYAWADA
Andukuri Vijaya Bhaskar,India Praja Bandhu Party,0,Graduate Professional,49,VIJAYAWADA
Anil Kumar Maddineni,IND, 1 ,Post Graduate,39,VIJAYAWADA
Bolisetty Hari Babu,IND, 1 ,Illiterate,60,VIJAYAWADA
Dileep Kilaru,BJP,0,Graduate Professional,48,VIJAYAWADA
Gandhi Dhanekula,IND,0,10th Pass,71,VIJAYAWADA
Lurthu Meri Daila,Mundadugu Praja Party,0,12th Pass,43,VIJAYAWADA
Madabathula Chandra Sekhar,Pyramid Party of India,0,10th Pass,31,VIJAYAWADA
Mohammad Ishaq,IND,0,12th Pass,47,VIJAYAWADA
Muttamasetty Lakshmana Siva Prasad Babu,Janasena Party,0,Post Graduate,66,VIJAYAWADA
Nandini Nallaghatla,IND,0,Post Graduate,43,VIJAYAWADA
Naraharisetty Narasimha Rao,INC, 1 ,Graduate Professional,58,VIJAYAWADA
Prasad Veera Potluri,YSRCP, 1 ,Post Graduate,48,VIJAYAWADA
Riyaz Dada Miya Shaik,IUML,0,10th Pass,32,VIJAYAWADA
Siva Prasad Padala	,Navarang Congress Party,0,10th Pass,62,VIJAYAWADA
M V V Satyanarayana,YSRCP, 1 ,10th Pass,52,VISAKHAPATNAM
Anmish Varma,IND,0,Post Graduate,26,VISAKHAPATNAM
B. Jaya Venu Gopal,Pyramid Party of India,0,12th Pass,30,VISAKHAPATNAM
Bharat Mathukumilli,TDP,0,Post Graduate,29,VISAKHAPATNAM
Daggubati Purandeswari,BJP,0,Graduate,58,VISAKHAPATNAM
Durgaprasad. Guntu,IND,0,Post Graduate,51,VISAKHAPATNAM
Gampala Somasundaram,IND,0,Graduate,76,VISAKHAPATNAM
Gannu Mallayya,IND,0,Graduate,70,VISAKHAPATNAM
George Bangari,Viduthalai Chiruthaigal Katchi,0,Graduate Professional,46,VISAKHAPATNAM
Kothapalli Geetha,IND, 1 ,Post Graduate,48,VISAKHAPATNAM
Pedada Ramanikumari,INC,0,Post Graduate,48,VISAKHAPATNAM
Pulapaka Raja Sekhar,IND,0,Graduate,41,VISAKHAPATNAM
R. Udaya Gowri,IND,0,Illiterate,44,VISAKHAPATNAM
V.V. Lakshmi Narayana,Janasena Party,0,Post Graduate,53,VISAKHAPATNAM
Bellana Chandra Sekhar,YSRCP, 4 ,Graduate Professional,57,VIZIANAGARAM
Adiraju Yedla,INC,0,Post Graduate,52,VIZIANAGARAM
Anandsagar Pogru,Samaanya Praja Party,0,8th Pass,55,VIZIANAGARAM
Ashok Gajapathi Raju Pusapati,TDP,0,12th Pass,67,VIZIANAGARAM
Dhanalakoti Ramana,IND,0,Post Graduate,29,VIZIANAGARAM
Govinda Rao Lagudu,Jana Jagruti Party,0,Doctorate,40,VIZIANAGARAM
Kovvuri Surya Bhavani,Pyramid Party of India,0,8th Pass,38,VIZIANAGARAM
Lingala Chiranjeevi,Andhra Chaitanya Party,0,12th Pass,28,VIZIANAGARAM
Mukka Sreenivasa Rao,Janasena Party,0,10th Pass,39,VIZIANAGARAM
Pentapati Rajesh,IND,0,Others,39,VIZIANAGARAM
Ramu Naidu Yijurothu,IND,0,10th Pass,47,VIZIANAGARAM
Sanyasi Raju Pakalapati,BJP,0,Graduate,60,VIZIANAGARAM
Venkata Trindha Rao Veluri	,IND,0,Graduate Professional,52,VIZIANAGARAM
Yella Rao Siyyadula,IND,0,12th Pass,37,VIZIANAGARAM
Tapir Gao,BJP,0,Post Graduate,54,ARUNACHAL EAST
Bandey Mili,JD(S),0,12th Pass,38,ARUNACHAL EAST
C. C. Singpho,IND,0,Graduate,68,ARUNACHAL EAST
Lowangcha Wanglat,INC,0,Graduate,69,ARUNACHAL EAST
Mongol Yomso,Peoples Party of Arunachal,0,12th Pass,47,ARUNACHAL EAST
Kiren Rijiju,BJP,0,Graduate Professional,47,ARUNACHAL WEST
Jarjum Ete,JD(S),0,Post Graduate,56,ARUNACHAL WEST
Jomin Nyokir Kara,AIFB,0,Graduate,38,ARUNACHAL WEST
Khyoda Apik,NPP, 1 ,12th Pass,42,ARUNACHAL WEST
Nabam Tuki,INC, 1 ,Graduate,51,ARUNACHAL WEST
Rumak Jomoh,IND,0,Graduate Professional,32,ARUNACHAL WEST
Subu Kechi,Peoples Party of Arunachal,0,Graduate Professional,45,ARUNACHAL WEST
Horen Sing Bey,BJP, 2 ,Graduate,49,AUTONOMOUS DISTRICT
Biren Singh Engti,INC,0,Post Graduate,76,AUTONOMOUS DISTRICT
Holiram Terang,Autonomous State Demand Committee,0,Graduate,61,AUTONOMOUS DISTRICT
Lienkhochon,NPP,0,8th Pass,39,AUTONOMOUS DISTRICT
Abdul Khaleque,INC,0,Post Graduate,44,BARPETA
Arfan Ali,IND,0,12th Pass,37,BARPETA
Aroon Barooa,Purvanchal Janta Party (Secular),0,Post Graduate,62,BARPETA
Ashahak Ali Dewan,AITC,0,Graduate,65,BARPETA
Bhadreswar Barman,National Republican Congress,0,12th Pass,45,BARPETA
Chitralekha Das,SUCI(C),0,Graduate Professional,64,BARPETA
Kumar Deepak Das,Asom Gana Parishad, 1 ,Graduate Professional,66,BARPETA
Matiar Rahman,The National Road Map Party of India,0,10th Pass,35,BARPETA
Pranabjyoti Das Rajbonshi,NPP,0,Post Graduate,45,BARPETA
Rafiqul Islam,AIUDF, 2 ,Doctorate,44,BARPETA
Rejaul Karim,RPI(A),0,10th Pass,36,BARPETA
Saniara Parbin,Voters Party International,0,Graduate,29,BARPETA
Santanu Mukherjee,Bharatiya Gana Parishad,0,Graduate,44,BARPETA
Badruddin Ajmal,AIUDF, 7 ,Post Graduate,63,DHUBRI
Abu Taher Bepari,INC, 1 ,Post Graduate,52,DHUBRI
Alakesh Roy,Hindusthan Nirman Dal,0,Graduate,39,DHUBRI
