Candidate,Party,Criminal Cases,Education,Age,City
VIJAYA SHANTHI .M,TRS,0,10th Pass,43,KADAPA :BYE- ELECTION ON 08-05-2011
D.Yadeshwar,BSP(AP),0,Graduate,46,KADAPA :BYE- ELECTION ON 08-05-2011
K. Sudheer Reddy,LSP,0,Post Graduate,37,KADAPA :BYE- ELECTION ON 08-05-2011
Khaja Quayum Anwar Md.,PRAP,0,Graduate Professional,45,KADAPA :BYE- ELECTION ON 08-05-2011
Kovuri Prabhakar,PPOI,0,Not Given,51,KADAPA :BYE- ELECTION ON 08-05-2011
Kundeti Ravi,IND,0,Post Graduate,32,KADAPA :BYE- ELECTION ON 08-05-2011
Narendranath Chaganla,INC,0,12th Pass,45,KADAPA :BYE- ELECTION ON 08-05-2011
P. Niroop Reddy,BJP,0,Post Graduate,50,KADAPA :BYE- ELECTION ON 08-05-2011
Y.Shankar Goud,BSP,0,Post Graduate,44,KADAPA :BYE- ELECTION ON 08-05-2011
M M Pallamraju,INC,0,Post Graduate,46,Kakinada
Akay Suryanarayana,IND,0,8th Pass,50,Kakinada
Aluri Vijaya Lakhsmi,LSP,0,Post Graduate,64,Kakinada
Badampudi Baburao,IND, 1 ,5th Pass,51,Kakinada
Bikkina Visweswara Rao,BJP,0,Graduate Professional,34,Kakinada
Bugatha Bangarrao,CPI(ML)(L), 7 ,10th Pass,48,Kakinada
C Surya Narayana Murthy,IND,0,Others,44,Kakinada
Chalamalasetty Sunil,PRAP,0,Post Graduate,39,Kakinada
Danam Lazar Babu,IND,0,Graduate Professional,42,Kakinada
Dommeti Sudhakar,BSP,0,Post Graduate,51,Kakinada
Gali Satyavathi,RPI,0,Not Given,40,Kakinada
Gidla Simhachalam,RDMP,0,Graduate Professional,50,Kakinada
K Udaya Kumar,TNPP, 1 ,Graduate Professional,36,Kakinada
N Pallam Raju,Ajeya Bharat Party,0,Graduate,52,Kakinada
Namala Satyanarayana,RDHP,0,Graduate Professional,45,Kakinada
Vasamsetty Satya,TDP,0,Graduate,44,Kakinada
Ponnam Prabhakar,INC,0,Graduate Professional,41,Karimnagar
Balla Suresh,IND,0,5th Pass,32,Karimnagar
Barige Gattaiah Yadav,IND,0,Not Given,32,Karimnagar
Ch. Janga Reddy,BJP, 1 ,12th Pass,75,Karimnagar
Gaddam Raji Reddy,IND,0,Not Given,48,Karimnagar
Kandem Prabhakar,IND,0,10th Pass,44,Karimnagar
Korivi Venugopal,IND,0,Graduate Professional,47,Karimnagar
Lingampalli Srinivas Reddy,MCPI(S),0,10th Pass,39,Karimnagar
Panakanti Satish Kumar,IND,0,Graduate Professional,46,Karimnagar
Peddi Ravinder,IND,0,Post Graduate,29,Karimnagar
Ragula Ramulu,RPI(A),0,5th Pass,41,Karimnagar
T. Srimannarayana,PPOI,0,12th Pass,68,Karimnagar
Velichala Rajendar Rao,PRAP,0,Post Graduate,46,Karimnagar
Vinod Kumar Boinapally,TRS,0,Graduate Professional,49,Karimnagar
Viresham Nalimela,BSP,0,Graduate Professional,58,Karimnagar
Nama Nageswara Rao,TDP,0,12th Pass,50,Khammam
Avula Venkateswarlu,IND, 2 ,Graduate,45,Khammam
Banoth Laxma Naik,IND,0,10th Pass,52,Khammam
Chanda Lingaiah,IND,0,Graduate,58,Khammam
Danda Lingaiah,IND,0,Not Given,59,Khammam
Jalagam Hemamalini,PRAP,0,Graduate,40,Khammam
Jupelli Satyanarayana,LSP,0,Post Graduate,62,Khammam
K. RAVINDER,BJP,0,Graduate,45,Khammam
M Raghuram Prasad,PPOI,0,Not Given,55,Khammam
Mallavarapu Jeremaih,IND,0,Graduate Professional,63,Khammam
Renuka Chowdhury,INC, 1 ,Post Graduate,54,Khammam
Shaik Mader Saheb,TNPP, 2 ,10th Pass,40,Khammam
T Venkateswar Rao,BSP,0,Graduate,47,Khammam
KOTLA JAYA SURYA PRAKASH REDDY,INC,0,Graduate,57,Kurnool
B.T.NAIDU,TDP,0,Post Graduate,36,Kurnool
DR.DANDIYA KHAJA PEERA,PRAP,0,Graduate Professional,55,Kurnool
RAVI SUBRAMANYAM K.A.,BJP,0,Graduate Professional,39,Kurnool
Konakalla Narayana Rao,TDP,0,12th Pass,59,Machilipatnam
Bhogadi Ramadevi,BJP,0,Not Given,56,Machilipatnam
C Rama Lingeswara Rao,BSP,0,Others,33,Machilipatnam
C Ramachandriaiah,PRAP, 1 ,Graduate,60,Machilipatnam
K Vara Lakhsmi,PPOI,0,Literate,59,Machilipatnam
Koppula Venkateswara Rao,LSP,0,Not Given,45,Machilipatnam
Ramakrishna Badiga,INC,0,12th Pass,66,Machilipatnam
Y Subramanyeswara Rao (Mani),IND,0,10th Pass,50,Machilipatnam
P. BALRAM,INC,0,Graduate,45,Mahabubabad
B. DILIP,BJP,0,Graduate,35,Mahabubabad
Banoth Molchand,LSP,0,12th Pass,60,Mahabubabad
D.T. Naik,PRAP,0,Graduate Professional,61,Mahabubabad
Datla Nageswar Rao,IND,0,Graduate Professional,42,Mahabubabad
Gummadi Pullaiah,BSP,0,Graduate,58,Mahabubabad
Kalthi Veeraswamy,IND,0,8th Pass,52,Mahabubabad
Kechela Ranga Reddy,IND,0,Not Given,44,Mahabubabad
Kunja Srinivasa Rao,CPI, 1 ,Graduate,32,Mahabubabad
P Satyanarayana,IND,0,12th Pass,32,Mahabubabad
Padiga Yerraiah,IND,0,Not Given,64,Mahabubabad
Podem Sammaiah,PPOI,0,Post Graduate,31,Mahabubabad
K. CHANDRASEKHARA RAO,TRS, 2 ,Graduate,55,Mahbubnagar
Abdul Kareem Khaja Mohammad,LSP,0,Graduate,50,Mahbubnagar
Asirvadam,GRIP,0,Post Graduate,35,Mahbubnagar
B. BALRAJU GOUD,MANP,0,10th Pass,44,Mahbubnagar
D.Dasaratha Ramulu,IND,0,12th Pass,31,Mahbubnagar
Depally Maisaiah,IND,0,10th Pass,27,Mahbubnagar
Depally Sayanna,IND,0,Not Given,47,Mahbubnagar
G.Vijayalaxmi,PPOI,0,Not Given,61,Mahbubnagar
Gajju Pedda Narsimhulu,IND,0,Not Given,35,Mahbubnagar
Gangapuri Ravinder Goud,IND,0,Not Given,28,Mahbubnagar
K Yadagiri Reddy,BJP, 4 ,Graduate,51,Mahbubnagar
K.Venkatesh,TNPP,0,Graduate,37,Mahbubnagar
Kanduri Narsimhulu,IND,0,Not Given,52,Mahbubnagar
Kanduru Kurmaiah,IND,0,Not Given,56,Mahbubnagar
Karre Jangaiah,IND,0,10th Pass,29,Mahbubnagar
Kothur Nagender Reddy,IND,0,Not Given,50,Mahbubnagar
Laxmamma,IND,0,Not Given,30,Mahbubnagar
M.A.Jabbar,IND,0,Not Given,39,Mahbubnagar
Mala Jangilamma,IND,0,Not Given,50,Mahbubnagar
Mohammad Ghouse Mohinuddin,IND,0,Not Given,76,Mahbubnagar
Muniswamy C.R,Samajwadi Janata Party (Rashtriya),0,Not Given,32,Mahbubnagar
Palem Sudharshan Goud,BSP,0,Not Given,41,Mahbubnagar
Pandu,IND,0,Not Given,29,Mahbubnagar
Rajesh Naik,IND,0,10th Pass,30,Mahbubnagar
Ramadasu,IND,0,10th Pass,41,Mahbubnagar
Rangamma,IND,0,Not Given,50,Mahbubnagar
Sathyamma,IND,0,Illiterate,32,Mahbubnagar
V.Venkateshwarlu,IND,0,12th Pass,32,Mahbubnagar
VITTAL RAO D,INC, 1 ,Graduate,57,Mahbubnagar
Yetti Chinna Venkaiah,IND,0,Not Given,47,Mahbubnagar
Yetty Lingaiah,IND,0,Not Given,52,Mahbubnagar
SARVEY SATYANARAYANA,INC, 1 ,Graduate Professional,54,Malkajgiri
BHEEM SEN,TDP,0,Graduate Professional,60,Malkajgiri
C Francis MJF,SP,0,Graduate,57,Malkajgiri
C Venkata Subba Rao,IND,0,Graduate,52,Malkajgiri
DR.LAVU RATHAIAH,LSP, 1 ,Doctorate,56,Malkajgiri
INDRASENA REDDY,BJP,0,Post Graduate,56,Malkajgiri
J Bhaskar,IND,0,Not Given,34,Malkajgiri
K Bhojraj,IND, 1 ,Not Given,35,Malkajgiri
K Srinivasa Raju,IND,0,Graduate,44,Malkajgiri
Kante Kanakaiah Ganagaputra,IND,0,Graduate,63,Malkajgiri
Lt.Col.(Retd) Duserla Paparaidu,IND,0,Post Graduate,62,Malkajgiri
M Babu Rao,BSP, 2 ,12th Pass,52,Malkajgiri
Md Mansoor Ali,IND,0,12th Pass,31,Malkajgiri
N V Rama Reddy,PPOI,0,10th Pass,54,Malkajgiri
Narendar Kumbala,BPD,0,Post Graduate,39,Malkajgiri
P Ramakrishna,RKSP,0,Not Given,42,Malkajgiri
S D Krishnamurthy,TNPP,0,Post Graduate,51,Malkajgiri
S.Victor,IND,0,10th Pass,40,Malkajgiri
Thulla Devender Goud,PRAP,0,Graduate,56,Malkajgiri
VIJAYA SHANTHI .M,TRS,0,10th Pass,43,Medak
D.Yadeshwar,BSP(AP),0,Graduate,46,Medak
K. Sudheer Reddy,LSP,0,Post Graduate,37,Medak
Khaja Quayum Anwar Md.,PRAP,0,Graduate Professional,45,Medak
Kovuri Prabhakar,PPOI,0,Not Given,51,Medak
Kundeti Ravi,IND,0,Post Graduate,32,Medak
Narendranath Chaganla,INC,0,12th Pass,45,Medak
P. Niroop Reddy,BJP,0,Post Graduate,50,Medak
Y.Shankar Goud,BSP,0,Post Graduate,44,Medak
Dr. Manda Jagannath,INC,0,Post Graduate,57,Nagarkurnool
A.V.Shiva Kumar,IND,0,10th Pass,42,Nagarkurnool
A.Venkatesh,IND,0,12th Pass,27,Nagarkurnool
Devani Satyanarayana,PRAP, 3 ,Not Given,38,Nagarkurnool
G. Vidyasagar,LSP,0,Graduate,60,Nagarkurnool
Guvvala Balaraj,TRS,0,Graduate Professional,31,Nagarkurnool
Hanumanthu,IND,0,10th Pass,28,Nagarkurnool
N.Kurumaiah,IND,0,Not Given,27,Nagarkurnool
S.P.Ferry Roy,IND,0,Graduate,27,Nagarkurnool
Sirigiri Mannem,IND,0,Graduate,36,Nagarkurnool
Srinivas,IND,0,12th Pass,35,Nagarkurnool
T. Ratnakar,BJP,0,Doctorate,50,Nagarkurnool
Tangirala Paramjyothi,BSP,0,Post Graduate,50,Nagarkurnool
Gutha Sukender Reddy,INC,0,12th Pass,55,Nalgonda
A. Nageshwar Rao,PPOI,0,Not Given,59,Nalgonda
Boalla Karunakar,IND,0,Not Given,33,Nalgonda
Bollusani Krishnaiah,IND,0,10th Pass,45,Nalgonda
Daida Lingaiah,IND,0,Not Given,51,Nalgonda
KV Srinivasa Charyulu,IND,0,Post Graduate,30,Nalgonda
Marry Nehemiah,IND,0,12th Pass,55,Nalgonda
Md. Nazeemuddin,IND,0,Graduate,50,Nalgonda
Nazeeruddin,BSP,0,Graduate,50,Nalgonda
P. KARUNA,PRAP, 2 ,Graduate,52,Nalgonda
Shaik Ahmed,IND,0,Not Given,57,Nalgonda
Suravaram Sudhakar Reddy,CPI,0,Graduate Professional,67,Nalgonda
VEDIRE SREERAM,BJP,0,Post Graduate,39,Nalgonda
Yalagandula Ramu,IND,0,10th Pass,41,Nalgonda
S.P.Y.REDDY,INC, 1 ,Graduate Professional,59,Nandyal
A.U.FAROOQ,IND,0,5th Pass,26,Nandyal
ABDUL SATTAR . G,B. C. United Front,0,10th Pass,26,Nandyal
AMBATI RAMESWARA REDDY,IND,0,Not Given,35,Nandyal
B.P.KAMBAGIRI SWAMY,IND, 1 ,10th Pass,36,Nandyal
B.R.L.REDDY,IND, 1 ,10th Pass,40,Nandyal
B.V.RAMI REDDY,IND,0,Graduate,47,Nandyal
BHUMA VENKATA NAGI REDDY,PRAP,0,12th Pass,45,Nandyal
G.BALASWAMY,IND,0,Post Graduate,37,Nandyal
GALI RAMA SUBBA REDDY,IND,0,5th Pass,33,Nandyal
K.ARTHER PANCHARATNAM,IND,0,12th Pass,42,Nandyal
NASYAM MOHAMMED FAROOK,TDP,0,10th Pass,57,Nandyal
PICHHIKE NARENDRA DEV,RKSP,0,10th Pass,39,Nandyal
RAMA JAGANNADHA REDDY TAMIDELA,LSP,0,Not Given,34,Nandyal
S.MOHAMMED ISMAIL,BSP,0,12th Pass,39,Nandyal
SADHU VEERA VENKATA RAMANAIAH,RDMP,0,12th Pass,35,Nandyal
SINGAM VENKATESHWARA REDDY,IND, 1 ,8th Pass,35,Nandyal
T.MAHESH NAIDU,IND,0,Illiterate,27,Nandyal
T.SRINUVASULU,IND,0,Illiterate,38,Nandyal
V.SESHI REDDY,IND,0,10th Pass,33,Nandyal
VENUGOPALA REDDY MODUGULA,TDP, 2 ,Graduate Professional,42,Narasaraopet
ANNAMRAJU VENUGOPALA MADHAVA RAO,IND,0,Graduate Professional,37,Narasaraopet
ATCHALA NARASIMHA RAO,IND,0,Graduate Professional,39,Narasaraopet
BALASHOWRY VALLABHANENI,INC,0,Graduate,42,Narasaraopet
BEJJAM RATNAKARA RAO,BSP,0,Graduate,48,Narasaraopet
GANUGAPENTA UTTAMA REDDY,LSP,0,Graduate,30,Narasaraopet
KATAMARAJU NALAGORLA,IND,0,Post Graduate,61,Narasaraopet
RAMADUGU VENKATA SUBBA RAO,SP,0,Graduate,45,Narasaraopet
S.G. MASTAN VALI,PPOI,0,Not Given,31,Narasaraopet
SHAIK SYED SAHEB,PRAP,0,Graduate,67,Narasaraopet
SRINIVASA REDDY KESARI,IND,0,12th Pass,40,Narasaraopet
VALLEPU KRUPA RAO,BJP,0,8th Pass,51,Narasaraopet
YAMPATI VEERANJANEYA REDDY,IND,0,10th Pass,38,Narasaraopet
BAPIRAJU KANUMURU,INC,0,10th Pass,61,Narsapuram
ALLURI YUGANDHARA RAJU,PPOI,0,Post Graduate,44,Narsapuram
BHUPATHIRAJU SRINIVASA VARMA,BJP,0,Post Graduate,41,Narsapuram
GUBBALA TAMMAIAH,PRAP,0,Doctorate,61,Narsapuram
KALIDINDI BHIMARAJU,IND,0,Post Graduate,73,Narsapuram
KALIDINDI VISWANADHA RAJU,BSP,0,12th Pass,39,Narsapuram
M V R RAJU,RDMP,0,10th Pass,35,Narsapuram
MANORAMA SANKU,LSP,0,Post Graduate,62,Narsapuram
NAVUNDRU RAJENDRA PRASAD,BSSP,0,10th Pass,44,Narsapuram
M Rajamohan Reddy,INC,0,Graduate Professional,59,Nellore
Bathina Narasimha Rao,BJP,0,Not Given,65,Nellore
D Venkata Bhaskar Reddy,IND,0,10th Pass,37,Nellore
Jana Ramachandraiah,PRAP,0,Graduate Professional,56,Nellore
Karimulla,IND,0,12th Pass,42,Nellore
M Chandra Sekhar Yadav,IND,0,Doctorate,40,Nellore
S Padma Nageswara Rao,BSP,0,Not Given,59,Nellore
S Satyanarayana,PPOI,0,Graduate,41,Nellore
Syed Hamza Hussainy,IND,0,Graduate Professional,46,Nellore
V Venu Gopala Reddy,TDP,0,Post Graduate,59,Nellore
Vemuri Bhaskara Rao,LSP,0,Graduate Professional,36,Nellore
Madhu Yaskhi Goud,INC,0,Post Graduate,50,NELLORE :BYE ELECTION ON 12-06-2012
Aaris Mohammed,IND,0,10th Pass,46,NELLORE :BYE ELECTION ON 12-06-2012
Bigala Ganesh,TRS,0,Graduate Professional,39,NELLORE :BYE ELECTION ON 12-06-2012
D.S.R. Chaudary,LSP,0,Not Given,52,NELLORE :BYE ELECTION ON 12-06-2012
Gaddam Srinivas,IND,0,Doctorate,47,NELLORE :BYE ELECTION ON 12-06-2012
Jala Bapu Reddy,BJP,0,Post Graduate,59,NELLORE :BYE ELECTION ON 12-06-2012
Kandem Prabhakar,IND,0,10th Pass,44,NELLORE :BYE ELECTION ON 12-06-2012
