Candidate,Party,Criminal Cases,Education,Age,City
Shri Bishnu Pada Ray,BJP, 1 ,Graduate,59,Andaman & Nicobar Islands
Shri P. R. Ganeshan,RJD,0,Not Given,71,Andaman & Nicobar Islands
Shri Pradeep Kumar Ekka,JDP,0,Others,37,Andaman & Nicobar Islands
Shri T. Ali,IND,0,12th Pass,37,Andaman & Nicobar Islands
Shri Tapan Kumar Bepari,CPM,0,Post Graduate,52,Andaman & Nicobar Islands
Shri Vakiath Valappil Khalid,IND,0,8th Pass,41,Andaman & Nicobar Islands
Shri. Kuldeep Rai Sharma,INC, 1 ,Graduate Professional,41,Andaman & Nicobar Islands
Shri. M. S. Mohan,BSP,0,10th Pass,50,Andaman & Nicobar Islands
Shri. N. K. P. Nair,CPI(ML)(L),0,10th Pass,54,Andaman & Nicobar Islands
Smti. R. S. Uma Bharathy,NCP, 1 ,Graduate,44,Andaman & Nicobar Islands
Ramesh Rathod,TDP, 2 ,12th Pass,43,Adilabad
A Laxman Rao,IND,0,10th Pass,47,Adilabad
Ade Tukaram,BJP,0,10th Pass,55,Adilabad
Banka Sahadev,IND,0,Not Given,56,Adilabad
G Pentanna,IND,0,Post Graduate,36,Adilabad
Kotnak Ramesh,INC,0,12th Pass,39,Adilabad
Masram Nago Rao,PRAP,0,Post Graduate,59,Adilabad
N Ramdas,IND,0,5th Pass,35,Adilabad
Rathod Sadashiv Naik,BSP,0,Graduate,50,Adilabad
G V Harsha Kumar,INC, 1 ,Post Graduate,50,Amalapuram
AKUMARTHI SURYANARAYANA,Trilinga Praja Pragati Party,0,5th Pass,50,Amalapuram
BHEEMARAO RAMJI MUTHABATHULA,PPOI,0,10th Pass,39,Amalapuram
Doctor G Varalakshmi,TDP,0,Graduate Professional,51,Amalapuram
G Sampada Rao,BSP,0,Graduate Professional,39,Amalapuram
K Uma Maheswara Rao,BJP,0,Graduate Professional,65,Amalapuram
KIRAN KUMAR BINEPE,PBHP,0,Not Given,43,Amalapuram
Masa Ramadasu,RDMP,0,Not Given,45,Amalapuram
P V Chakravarthi,RPI(KH),0,Graduate Professional,54,Amalapuram
Pothula Prameela Devi,PRAP,0,Graduate,55,Amalapuram
Yalangi Ramesh,IND,0,Graduate Professional,45,Amalapuram
Sabbam Hari,INC,0,12th Pass,55,Anakapalle
ALLU ARAVIND,PRAP, 1 ,Graduate,62,Anakapalle
Bheemisetti Nageswararao,RJD,0,Post Graduate,41,Anakapalle
Boyina Nageswara Rao,JD(U),0,5th Pass,52,Anakapalle
Kirla Appa Rao,BJP,0,Not Given,57,Anakapalle
Nanda Gopal Gandham,IND,0,Others,60,Anakapalle
NOOKARAPU SURYA PRAKASA RAO,TDP,0,Graduate,50,Anakapalle
Pathala Satya Rao,IND,0,Literate,46,Anakapalle
Pulamarasetti .Venkata Ramana,PPOI,0,Graduate,28,Anakapalle
Venkata Ramana Babu Pilla,BSP,0,10th Pass,35,Anakapalle
ANANTHA VENKATA RAMI REDDY,INC,0,Post Graduate,52,Anantapur
AMARNATH,LSP,0,Graduate,32,Anantapur
AMBATI RAMA KRISHNA REDDY,BJP,0,Graduate Professional,41,Anantapur
DEVELLA MURALI,IND,0,5th Pass,45,Anantapur
G HARI,PPOI,0,Post Graduate,30,Anantapur
GADDALA NAGABHUSHANAM,BSP, 2 ,Post Graduate,48,Anantapur
J C RAMANUJULA REDDY,IND,0,8th Pass,52,Anantapur
K P NARAYANA SWAMY,IND,0,Graduate,41,Anantapur
KALAVA SRINIVASULU,TDP,0,Post Graduate,44,Anantapur
KRUSHNAPURAM GAYATHRI DEVI,CPI(ML)(L),0,5th Pass,36,Anantapur
MANSOOR,PRAP,0,10th Pass,56,Anantapur
T CHANDRA SEKHAR,IND,0,Not Given,30,Anantapur
V. Kishore Chandra Deo,INC,0,Post Graduate,62,Araku
A Gumpa Swamy,IND,0,Illiterate,60,Araku
G Balayya Dora,RJD,0,Graduate,38,Araku
Illa Rami Reddy,IND,0,Literate,54,Araku
Jayalakshmi Sambudu,IND,0,Not Given,39,Araku
K Appa Rao,IND,0,10th Pass,48,Araku
Kurusa  Bojjaiah,BJP,0,10th Pass,56,Araku
Lake Raja Rao,BSP,0,12th Pass,50,Araku
Meenaka Simhachalam,PRAP,0,Graduate,43,Araku
Midiyam Babu Rao,CPM,0,Graduate Professional,58,Araku
Vadigala Pentayya,LSP,0,Graduate,56,Araku
PANABAKA LAKSHMI,INC,0,Post Graduate,50,Bapatla
BATTULA ROSAYYA,BJP,0,Not Given,52,Bapatla
DARA SAMBAIAH,BSP,0,Not Given,62,Bapatla
GARIKAPATI SUDHAKAR,RDMP,0,8th Pass,32,Bapatla
GOLLA BABU RAO,IND,0,Post Graduate,34,Bapatla
GORREMUCHU CHINNA RAO,IND,0,5th Pass,42,Bapatla
GUDIPALLI SATHYA BABUJI,IND,0,Graduate,40,Bapatla
MALYADRI SRIRAM,TDP,0,Post Graduate,55,Bapatla
NUTHAKKI RAMA RAO,PRAP,0,Post Graduate,61,Bapatla
KOMATIREDDY RAJ GOPAL REDDY,INC,0,Graduate,41,Bhongir
Chintha Samba Murthy,BJP,0,Graduate,50,Bhongir
Gandam Chandramouli,PRAP,0,Post Graduate,49,Bhongir
Mamidigalla John Babu,IND,0,Not Given,40,Bhongir
Medi Narsimha,IND,0,10th Pass,31,Bhongir
Nomula Narsimhaiah,CPM, 3 ,Post Graduate,53,Bhongir
Palla Prabhakar Reddy,PPOI,0,Graduate,65,Bhongir
Peruku Anjaiah,IND,0,12th Pass,46,Bhongir
Poosa Bala Kishan,IND,0,12th Pass,35,Bhongir
Racha Subhadra Reddy,LSP,0,Graduate,59,Bhongir
Rupani Ramesh Vaddera,IND,0,12th Pass,31,Bhongir
Sangu Mallayya,IND,0,Not Given,66,Bhongir
Siddhartha Pooley,BSP,0,Post Graduate,39,Bhongir
Sirupangi Ramulu,IND, 1 ,5th Pass,55,Bhongir
Sudini Jaipal Reddy,INC,0,Post Graduate,67,Chevella
A.P.Jithender Reddy,TDP, 1 ,Graduate,54,Chevella
Baddam Bal Reddy,BJP, 1 ,12th Pass,64,Chevella
C. Srinivasa Rao,BSP,0,Post Graduate,39,Chevella
Dasari Sarala Devi,MCPI(S), 1 ,Not Given,39,Chevella
Dr. Raghuveera Reddy,LSP,0,Graduate Professional,42,Chevella
Eedagi Laxminarayana,IND,0,10th Pass,27,Chevella
G.Mallesham Goud,IND,0,Graduate,32,Chevella
Kasani Gyaneshwar,MANP,0,8th Pass,54,Chevella
Kummari Giri,PPOI,0,Not Given,28,Chevella
Rameshwaram Jangaiah,IND,0,Not Given,52,Chevella
S. Malla Reddy,IND,0,5th Pass,43,Chevella
Sama Srinivasulu,GRIP,0,10th Pass,34,Chevella
Sayamollu Narsimulu,IND,0,10th Pass,30,Chevella
Venkatram Nayak,IND,0,Graduate,34,Chevella
NARAMALLI SIVAPRASAD,TDP,0,Graduate Professional,57,Chittoor
A. AMARNADH,RKSP,0,Not Given,37,Chittoor
B.SIVAKUMAR,BJP,0,10th Pass,40,Chittoor
G. VENKATACHALAM,LSP,0,Post Graduate,29,Chittoor
JAYARAM DUGGANI,BSP,0,12th Pass,60,Chittoor
TALARI MANOHAR,PRAP,0,Post Graduate,54,Chittoor
THIPPESWAMY M,INC, 1 ,Graduate Professional,55,Chittoor
KAVURI SAMBASIVA RAO,INC,0,Graduate Professional,66,Eluru
DODDA KAMESWARA RAO,IND,0,10th Pass,54,Eluru
DOWLURI GOVARDHAN,IND, 1 ,5th Pass,32,Eluru
KASI NAIDU KAMMILI,IND,0,10th Pass,39,Eluru
KOLUSU PEDA REDDAIAH YADAV,PRAP,0,Graduate Professional,67,Eluru
MAGANTI VENKATESWARA RAO(BABU),TDP,0,12th Pass,49,Eluru
PILLELLI SUNIL,BSP,0,Not Given,35,Eluru
SAVANAPUDI NAGARAJU,MCPI(S),0,Not Given,48,Eluru
SIRIKI SRINIVAS,RDMP,0,Post Graduate,32,Eluru
TANUKU SEKHAR,IND,0,8th Pass,45,Eluru
Y.V.S.V. PRASADA RAO (YERNENI PRASADA RAO),PPOI,0,Graduate,61,Eluru
SAMBASIVA RAO RAYAPATI,INC, 3 ,Graduate,65,Guntur
AMANULLA KHAN,LSP,0,Literate,37,Guntur
KOMMANABOINA LAKSHMAIAH,RDHP,0,Not Given,39,Guntur
MALLELA BABU RAO,BSP,0,Post Graduate,61,Guntur
SRINIVASA RAO THOTAKURA,Ajeya Bharat Party,0,Graduate Professional,34,Guntur
THOTA CHANDRA SEKHAR,PRAP,0,Doctorate,47,Guntur
VELAGAPUDI LAKSHMANA RAO,PPOI,0,10th Pass,59,Guntur
YADLAPATI SWARUPARANI,BJP,0,Graduate,51,Guntur
YARRAKULA TULASI RAM YADAV,SP,0,Not Given,30,Guntur
KRISTAPPA NIMMALA,TDP,0,Graduate,52,Hindupur
B. NAGABHUSHANA RAO,IND,0,Graduate,76,Hindupur
K. JAKEER,IND,0,8th Pass,40,Hindupur
KADAPALA SREEKANTHA REDDY,PRAP,0,Post Graduate,56,Hindupur
M SREERAMULU,BSP,0,Post Graduate,30,Hindupur
Naresh Kumar,BJP,0,10th Pass,45,Hindupur
NIRANJAN BABU. K,LSP,0,Graduate Professional,30,Hindupur
P KHASIM KHAN,INC,0,Graduate,53,Hindupur
P. PRASAD,IND,0,Graduate Professional,32,Hindupur
S. MUSKIN VALI,PPOI,0,Not Given,26,Hindupur
Asaduddin Owaisi,AIMIM, 4 ,Graduate Professional,41,Hyderabad
A. Fatima,PRAP,0,Graduate Professional,41,Hyderabad
Altaf Ahmed Khan,IND,0,10th Pass,43,Hyderabad
B.Ravi Yadav,IND,0,Graduate,33,Hyderabad
D.Sadanand,IND,0,8th Pass,45,Hyderabad
D.Surender,TNPP,0,8th Pass,36,Hyderabad
M.A.Basith,IND,0,10th Pass,55,Hyderabad
M.A.Quddus Ghori,IND, 1 ,Not Given,43,Hyderabad
M.A.Sattar,IND, 2 ,10th Pass,29,Hyderabad
Ma Habeeb,IND,0,10th Pass,33,Hyderabad
Md.Osman,IND,0,Illiterate,45,Hyderabad
Moullim Mohsin Bin Hussain Al Kasary,IND,0,Graduate,33,Hyderabad
N.L.Srinivas,IND,0,12th Pass,31,Hyderabad
P. Laxman Rao Goud,INC,0,12th Pass,55,Hyderabad
P.Venkateswara Rao,PPOI,0,Post Graduate,58,Hyderabad
S. Gopal Singh,Akhil Bharatiya Jan Sangh, 1 ,5th Pass,34,Hyderabad
Samy Mohammed,BSP,0,Post Graduate,29,Hyderabad
Sardar Singh,IND,0,8th Pass,62,Hyderabad
Satish Agarwal,BJP,0,Graduate,38,Hyderabad
Syed Abdul Gaffer,IND,0,8th Pass,51,Hyderabad
Taher Kamal Khundmiri,JD(S),0,Not Given,52,Hyderabad
Zahid Ali Khan,IND,0,10th Pass,26,Hyderabad
ZAHID ALI KHAN,TDP, 7 ,Graduate,66,Hyderabad
Y.S. Jagan Mohan Reddy,INC,0,Graduate,36,Kadapa
C Gopi Narasimha Reddy,JD(U),0,12th Pass,31,Kadapa
C Sivanarayana Reddy,IND,0,Others,39,Kadapa
Dr. Khaleel Basha,PRAP,0,Graduate Professional,60,Kadapa
G Prasanna Kumar,LSP,0,Post Graduate,55,Kadapa
G Rama Subba Reddy,PPOI,0,Others,57,Kadapa
J Muni Reddy,BSP, 1 ,12th Pass,31,Kadapa
J Subbarayudu,IND,0,5th Pass,51,Kadapa
K Chinnapa Reddy,Bharatiya Jan Shakti,0,10th Pass,41,Kadapa
K Sainath Sarma,RDHP, 2 ,12th Pass,38,Kadapa
K Venkata Subba Reddy,RRS,0,5th Pass,42,Kadapa
N Kishore Kumar Reddy,JD(S), 3 ,Others,32,Kadapa
Palem Srikanth Reddy,TDP,0,Post Graduate,46,Kadapa
S Ali Sher,IND,0,10th Pass,47,Kadapa
S Raja,IND,0,12th Pass,46,Kadapa
V Narendra,IND,0,Graduate,39,Kadapa
Vangala Shashi Bhushan Reddy,BJP,0,Others,38,Kadapa
Y Ramesh Reddy,IND, 1 ,Not Given,35,Kadapa
Y Shekara Reddy,RPI(A), 1 ,8th Pass,47,Kadapa
