Candidate,Party,Criminal Cases,Education,Age,City
Bishnu Pada Ray,BJP, 1 ,Graduate,64,ANDAMAN AND NICOBAR ISLANDS
A Pandian,AIFB,0,12th Pass,41,ANDAMAN AND NICOBAR ISLANDS
Anita Mondal,AITC, 1 ,Graduate,48,ANDAMAN AND NICOBAR ISLANDS
C G Saji Kumar,IND,0,12th Pass,41,ANDAMAN AND NICOBAR ISLANDS
Gaur Chandra Majumder,BSP,0,Graduate,47,ANDAMAN AND NICOBAR ISLANDS
K.g.das,CPI(M),0,12th Pass,70,ANDAMAN AND NICOBAR ISLANDS
Kuldeep Rai Sharma,INC,0,Graduate Professional,46,ANDAMAN AND NICOBAR ISLANDS
N K P Nair,CPI(ML)L,0,10th Pass,59,ANDAMAN AND NICOBAR ISLANDS
N Kannan,IND,0,8th Pass,35,ANDAMAN AND NICOBAR ISLANDS
Prakash Minj,IND,0,Post Graduate,38,ANDAMAN AND NICOBAR ISLANDS
R.s.uma Bharatthy,NCP,0,Post Graduate,49,ANDAMAN AND NICOBAR ISLANDS
Raghubir Singh,SP, 1 ,8th Pass,49,ANDAMAN AND NICOBAR ISLANDS
Sanjay Meshack,AAP,0,10th Pass,43,ANDAMAN AND NICOBAR ISLANDS
Saravanan,IND,0,Graduate,38,ANDAMAN AND NICOBAR ISLANDS
V V Khalid,IND,0,8th Pass,46,ANDAMAN AND NICOBAR ISLANDS
Pandula Ravindra Babu,TDP,0,Graduate Professional,58,AMALAPURAM
Aithabathula Jogeswara Venkata Butchi Maheswara Rao,INC, 1 ,Post Graduate,63,AMALAPURAM
Bunga Bhaskararao,IND,0,12th Pass,65,AMALAPURAM
Geddam Sampada Rao,BSP, 1 ,Graduate Professional,44,AMALAPURAM
Kasi Chandramouli S/o Satyanandam,IND,0,Post Graduate,28,AMALAPURAM
Konki Venkata Rao,Republican Paksha (Khoripa),0,Others,53,AMALAPURAM
Kunche Peda Satyanarayana,Pyramid Party of India,0,5th Pass,43,AMALAPURAM
Satyavathi Kommu,IND,0,Illiterate,41,AMALAPURAM
Undru Gani Raju,IND, 1 ,Post Graduate,32,AMALAPURAM
Vaddi Winston Churchil,IND,0,12th Pass,46,AMALAPURAM
Vijaya Chakravarthy Panthagada,Republican Party of India (Khobragade),0,Post Graduate,61,AMALAPURAM
Vijaya Harsha Kumar Geddam,Jai Samaikyandhra Party, 2 ,Post Graduate,54,AMALAPURAM
